,config,n_vars,n_clauses,n_groups,n_Avars,arjun_time,benchmark,network_type,encoding,configuration,timeout,memory_limit,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,stime,wtime,max_res_set_size,exit_status,signal,optimised_value,encoding_m/o
2,config-0,123.0,717.0,54.0,15.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,1,False,True,True,54.0,226.0,0.31,0.24,0:00,64988,0,,36,False
52,config-0,213.0,840.0,54.0,105.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,2,False,True,True,54.0,226.0,0.66,0.21,0:01,65336,0,,76,False
102,config-0,230.0,907.0,54.0,122.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,3,False,True,True,54.0,226.0,0.68,0.26,0:01,65380,0,,94,False
152,config-0,247.0,973.0,54.0,139.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,4,False,True,True,54.0,226.0,0.69,0.24,0:01,66164,0,,106,False
202,config-0,320.0,1069.0,54.0,212.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,6,False,True,True,54.0,226.0,0.62,2.28,0:04,53440,0,,108,False
252,config-0,352.0,1154.0,54.0,244.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,8,False,True,True,54.0,226.0,0.62,0.3,0:01,65008,0,,108,False
302,config-0,392.0,1235.0,54.0,284.0,0.00,MadridAdj.txt,crime,gis,,7200,4000000,10,False,True,True,54.0,226.0,0.64,0.2,0:00,66060,0,,108,False
352,config-0,418.0,1291.0,54.0,310.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,12,False,True,True,54.0,226.0,0.63,0.2,0:00,69800,0,,108,False
402,config-0,486.0,1395.0,54.0,378.0,0.01,MadridAdj.txt,crime,gis,,7200,4000000,16,False,True,True,54.0,226.0,0.69,0.2,0:01,65004,0,,108,False
1,config-0,23.0,72.0,10.0,3.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,1,False,True,True,10.0,14.0,0.25,2.29,0:03,54476,0,,12,False
51,config-0,38.0,94.0,10.0,18.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,2,False,True,True,10.0,14.0,0.22,0.36,0:00,64524,0,,14,False
101,config-0,48.0,101.0,10.0,28.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,3,False,True,True,10.0,14.0,0.25,0.2,0:00,66540,0,,18,False
151,config-0,50.0,104.0,10.0,30.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,4,False,True,True,10.0,14.0,0.25,0.19,0:00,64920,0,,18,False
201,config-0,48.0,98.0,10.0,28.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,6,False,True,True,10.0,14.0,0.25,0.2,0:00,65852,0,,20,False
251,config-0,38.0,76.0,10.0,18.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,8,False,True,True,10.0,14.0,0.24,0.19,0:00,64920,0,,20,False
301,config-0,20.0,48.0,10.0,0.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,10,False,True,True,10.0,14.0,0.26,0.2,0:00,65008,0,,20,False
351,config-0,20.0,48.0,10.0,0.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,12,False,True,True,10.0,14.0,0.26,0.22,0:00,64228,0,,20,False
401,config-0,20.0,48.0,10.0,0.0,0.00,ParisAdj.txt,crime,gis,,7200,4000000,16,False,True,True,10.0,14.0,0.24,2.29,0:03,55672,0,,20,False
0,config-0,35.0,166.0,14.0,7.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,1,False,True,True,14.0,51.0,0.24,2.31,0:03,54664,0,,10,False
50,config-0,54.0,197.0,14.0,26.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,2,False,True,True,14.0,51.0,0.23,0.35,0:00,64636,0,,24,False
100,config-0,58.0,211.0,14.0,30.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,3,False,True,True,14.0,51.0,0.27,0.21,0:00,64472,0,,28,False
150,config-0,62.0,224.0,14.0,34.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,4,False,True,True,14.0,51.0,0.28,0.18,0:00,64328,0,,28,False
200,config-0,84.0,236.0,14.0,56.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,6,False,True,True,14.0,51.0,0.27,0.19,0:00,67584,0,,28,False
250,config-0,82.0,230.0,14.0,54.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,8,False,True,True,14.0,51.0,0.27,0.19,0:00,64940,0,,28,False
300,config-0,72.0,208.0,14.0,44.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,10,False,True,True,14.0,51.0,0.26,0.21,0:00,64496,0,,28,False
350,config-0,54.0,170.0,14.0,26.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,12,False,True,True,14.0,51.0,0.28,0.22,0:00,64740,0,,28,False
400,config-0,28.0,130.0,14.0,0.0,0.00,PhilippineAdj.txt,crime,gis,,7200,4000000,16,False,True,True,14.0,51.0,0.27,2.33,0:04,54368,0,,28,False
3,config-0,91.0,370.0,39.0,13.0,0.00,ZerkaniAdj.txt,crime,gis,,7200,4000000,1,False,True,True,39.0,89.0,0.32,0.2,0:00,64736,0,,32,False
53,config-0,153.0,456.0,39.0,75.0,0.00,ZerkaniAdj.txt,crime,gis,,7200,4000000,2,False,True,True,39.0,89.0,0.41,0.22,0:00,65780,0,,58,False
