,config,n_vars,n_csts,benchmark,network_type,encoding,configuration,timeout,memory_limit,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,stime,wtime,max_res_set_size,exit_status,signal,encoding_m/o
1,config0,108.0,1533.0,MadridAdj.txt,crime,ilp,0,7200,4000000,1,False,True,True,54.0,226.0,864.06,1.81,7:15,69672,0,,False
91,config0,108.0,815029.0,MadridAdj.txt,crime,ilp,0,7200,4000000,2,False,True,True,54.0,226.0,709.11,3.37,6:11,2775548,0,,False
180,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,3,False,True,False,,,22.89,1.42,0:25,3629480,0,,True
272,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,4,False,True,False,,,29.91,1.33,0:31,3734396,0,,True
364,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,6,False,True,False,,,46.54,3.15,0:58,3734888,0,,True
454,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,8,False,True,False,,,48.86,1.62,0:50,3734584,0,,True
543,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,10,False,True,False,,,48.85,1.65,0:50,3734268,0,,True
633,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,12,False,True,False,,,47.29,1.7,0:49,3734628,0,,True
723,config0,,,MadridAdj.txt,crime,ilp,0,7200,4000000,16,False,True,False,,,46.67,1.73,0:48,3734800,0,,True
0,config0,20.0,65.0,ParisAdj.txt,crime,ilp,0,7200,4000000,1,False,True,True,10.0,14.0,0.91,1.79,0:09,65164,0,,False
90,config0,20.0,396.0,ParisAdj.txt,crime,ilp,0,7200,4000000,2,False,True,True,10.0,14.0,1.59,0.17,0:01,67460,0,,False
179,config0,20.0,751.0,ParisAdj.txt,crime,ilp,0,7200,4000000,3,False,True,True,10.0,14.0,0.3,0.18,0:00,70900,0,,False
271,config0,20.0,842.0,ParisAdj.txt,crime,ilp,0,7200,4000000,4,False,True,True,10.0,14.0,0.5,0.18,0:00,66964,0,,False
363,config0,20.0,862.0,ParisAdj.txt,crime,ilp,0,7200,4000000,6,False,True,True,10.0,14.0,1.53,0.18,0:01,66904,0,,False
